Marque;Carburant;puiss_max;CO2;masse_ordma_min;Carrosserie;boite;gamme2;Cat_CO2
ALFA-ROMEO;ES;147.0;182.0;1505;BREAK;M;MOY-SUPERIEURE;E
ALFA-ROMEO;GO;125.0;136.0;1565;BERLINE;M;MOY-SUPERIEURE;C
ALFA-ROMEO;GO;100.0;134.0;1565;BERLINE;M;MOY-SUPERIEURE;C
ALFA-ROMEO;GO;125.0;139.0;1565;BERLINE;M;MOY-SUPERIEURE;C
ALFA-ROMEO;ES;147.0;186.0;1555;BREAK;M;MOY-SUPERIEURE;E
ALFA-ROMEO;GO;125.0;139.0;1615;BREAK;M;MOY-SUPERIEURE;C
ALFA-ROMEO;GO;100.0;137.0;1615;BREAK;M;MOY-SUPERIEURE;C
ALFA-ROMEO;GO;125.0;142.0;1615;BREAK;M;MOY-SUPERIEURE;D
ALFA-ROMEO;ES;331.0;379.0;1750;CABRIOLET;M;LUXE;G
ALFA-ROMEO;ES;147.0;189.0;1505;COUPE;M;MOY-SUPERIEURE;E
ALFA-ROMEO;GO;125.0;142.0;1555;COUPE;M;MOY-SUPERIEURE;D
ALFA-ROMEO;GO;120.0;142.0;1555;COUPE;M;MOY-SUPERIEURE;D
ALFA-ROMEO;ES;88.0;149.0;1355;BERLINE;M;MOY-INFERIEURE;D
ALFA-ROMEO;ES;125.0;121.0;1380;BERLINE;A;MOY-INFERIEURE;C
ALFA-ROMEO;ES;125.0;134.0;1365;BERLINE;M;MOY-INFERIEURE;C
ALFA-ROMEO;ES;172.5;177.0;1395;BERLINE;M;MOY-INFERIEURE;E
ALFA-ROMEO;GO;77.0;114.0;1385;BERLINE;M;MOY-INFERIEURE;B
ALFA-ROMEO;GO;125.0;119.0;1410;BERLINE;A;MOY-INFERIEURE;B
ALFA-ROMEO;GO;125.0;124.0;1395;BERLINE;M;MOY-INFERIEURE;C
ALFA-ROMEO;ES;85.0;149.0;1355;BERLINE;M;MOY-INFERIEURE;D
